"","coef_elastic","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross"
"ANGPT1",NA,0.0546007346500477,1,0.0606415990665041,2,0.0558997292592548,3,0,4,0.0568425612011115,5,0.0568425612011115,6,0.0558997292592548,7,0.0589056325481507,8,0,9,0.0546007346500477,10,0.0578747242295487,11,0.00351040245541789,12,0.0608913774507272,13,0.0568425612011115,14,0.0578747242295487,15,0.0546007346500477,16,0.05317360979937,17,0.0415619451526804,18,0.05317360979937,19,0.0608913774507272,20,0.00351040245541789,21,0.03544506134423,22,0.0546007346500477,23,0.00351040245541789,24,0.0289193901718409,25,0.0415619451526804,26,0.0568425612011115,27,0.0458415346087115,28,0.03544506134423,29,0.0512158792272302,30
"C19orf33",NA,0.150143633965399,1,0.240619402242641,2,0.157522461822047,3,0.0695998508375082,4,0.165675223194216,5,0.165675223194216,6,0.157522461822047,7,0.182107378431566,8,0.0643581341683383,9,0.150143633965399,10,0.173918710519294,11,0.0741067305170399,12,0.198209287780042,13,0.165675223194216,14,0.173918710519294,15,0.150143633965399,16,0.143040795265742,17,0.113896263820901,18,0.143040795265742,19,0.198209287780042,20,0.0741067305170399,21,0.106374200826829,22,0.150143633965399,23,0.0741067305170399,24,0.100623072587263,25,0.113896263820901,26,0.165675223194216,27,0.121950208312775,28,0.106374200826829,29,0.136307805768855,30
"GUSBP1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"PF4",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"AVPR1A",NA,0,1,0.0152222311978943,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"TRAV6",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"TRBV5.6",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"IRAK1BP1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"PKHD1L1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"C2orf88",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"AK5",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"LGALSL",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"KIF20B",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"PDGFD",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"C8orf88",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"NECAB1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"TRDJ3",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"RPH3A",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"DOCK4",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"ZNF749",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"BCL7A",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"TRBV6.6",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"PCDHGA12",NA,-0.256599813555377,1,-0.324224039212001,2,-0.262440197577108,3,-0.175302398052536,4,-0.268563735624519,5,-0.268563735624519,6,-0.262440197577108,7,-0.281213957156837,8,-0.169532850994967,9,-0.256599813555377,10,-0.27484669225695,11,-0.18043782008302,12,-0.294065043057011,13,-0.268563735624519,14,-0.27484669225695,15,-0.256599813555377,16,-0.250794677829682,17,-0.226853802238972,18,-0.250794677829682,19,-0.294065043057011,20,-0.18043782008302,21,-0.219491594285422,22,-0.256599813555377,23,-0.18043782008302,24,-0.212755576359145,25,-0.226853802238972,26,-0.268563735624519,27,-0.233339290854159,28,-0.219491594285422,29,-0.24512429969901,30
"TRAV2",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"GRB10",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"MIR601",NA,0.18713995888099,1,0.276872350988476,2,0.195212359706308,3,0.0646407918995694,4,0.203164627584021,5,0.203164627584021,6,0.195212359706308,7,0.219184565611058,8,0.0553534474969273,9,0.18713995888099,10,0.21121111077245,11,0.0734233498476983,12,0.235012465847095,13,0.203164627584021,14,0.21121111077245,15,0.18713995888099,16,0.178966164797588,17,0.143637855539391,18,0.178966164797588,19,0.235012465847095,20,0.0734233498476983,21,0.133809713625895,22,0.18713995888099,23,0.0734233498476983,24,0.125159241767924,25,0.143637855539391,26,0.203164627584021,27,0.15350576307951,28,0.133809713625895,29,0.170751622548658,30
