GSM1900772	GSM1900777	GSM1900789	GSM1900806	GSM1900817	GSM1900826	GSM1900834	GSM1900849	GSM1900856	GSM1900863	GSM1900890	GSM1900905	GSM1900912	GSM1900922	GSM1900929	GSM1900944	GSM1900950
CD8B	6.30826	4.66626	6.46548	7.27877	5.46904	6.65662	7.69833	6.11101	6.59093	5.063	5.70193	6.52094	6.04646	6.25201	5.57552	5.39694	7.13237
TSPAN13	3.75906	4.45193	4.71886	3.74953	4.17533	4.30453	4.28225	3.80925	4.5444	4.14322	4.33203	4.46088	4.14066	4.61783	4.56723	4.74858	4.54003
CDC14A	7.50658	6.67566	7.4213	7.66941	6.91977	7.73661	7.38494	7.59472	7.72948	7.39974	7.66218	7.56794	7.64507	7.51938	7.32584	7.8097	7.76713
PAK1IP1	4.44752	3.67449	4.75988	4.54655	4.40793	4.48636	4.52897	4.65414	4.70106	3.76126	4.72705	4.50623	3.97035	4.1704	4.28037	5.16672	4.48296
SYNJ2BP	5.16373	4.20952	4.811	5.59104	5.08046	5.3109	5.25623	5.05777	4.77007	4.71984	5.44143	5.22682	5.50398	5.34969	4.85146	5.33706	5.47932
PSMD14	5.69391	4.80457	6.36092	5.82801	5.35382	6.01827	5.78064	6.17701	5.52797	5.46375	6.13057	6.18894	5.58586	5.78912	4.94181	5.89438	6.02411
ATP8B2	6.48256	5.53442	6.018	6.54286	5.60257	6.03412	6.32332	6.40894	6.35533	5.9617	5.91836	6.16999	6.16566	6.1818	6.09792	6.54822	6.204
FAM126B	9.01799	9.15101	7.8343	8.64558	9.23151	8.82517	8.73827	8.44407	9.07014	8.73631	9.23567	8.74719	8.97605	9.22578	8.91036	8.73886	8.92594
SMCHD1	10.0677	10.2901	9.47922	10.0563	9.81528	10.2507	10.1762	10.1126	10.2784	10.1999	10.0202	10.0958	10.0208	9.90365	9.92829	10.0812	9.94713
PGAP3	5.46922	4.61125	5.37576	5.37346	4.9058	4.83471	5.3876	4.1939	5.1996	5.10491	5.30871	5.11537	5.24606	5.02263	4.95726	4.97692	5.5616
ALG5	5.51218	4.71018	5.93309	6.19158	5.71105	5.8937	5.96846	6.49351	5.55746	5.14299	5.65628	6.0891	5.90024	6.02486	5.18848	5.68276	6.01452
PIH1D2	2.85406	3.00941	2.6376	2.61094	2.18977	2.47474	2.67814	2.71273	2.45032	2.93323	2.4757	2.48884	2.42592	2.65583	2.51318	2.80339	2.84156
FAM20A	5.3315	6.3798	5.11273	5.47526	5.85393	5.60291	5.24213	5.19422	5.26378	5.17914	5.31924	5.37374	5.38606	6.00877	6.12146	5.55977	5.27553
SLC30A4	4.41883	4.78162	5.13757	5.21528	4.4148	5.10273	5.22618	5.62575	4.96841	4.71702	5.10658	4.74025	4.94727	5.19434	4.33157	5.72231	5.3296
PDE4B	7.06653	6.57566	6.59678	6.8387	6.791	6.96466	7.1223	5.96472	6.71046	7.15678	6.85506	6.9631	6.84005	6.40313	7.0034	6.96217	6.98258
TGFB1	7.77783	7.86951	7.5868	8.19929	8.46423	7.95093	8.20674	6.75987	7.91324	8.37205	8.16351	8.10867	8.38932	8.10502	8.39568	8.12444	8.24017
CYB5R4	8.75287	8.92382	7.99025	8.65021	9.05658	8.54623	8.72391	8.44012	8.8492	8.27797	8.84417	8.88583	8.76364	8.97643	8.31656	8.67051	8.61806
TANGO2	7.60447	6.64147	9.14587	7.0976	7.449	7.54686	7.71575	6.40472	7.54235	7.42763	6.92723	7.66278	8.23022	7.09371	7.52117	7.51302	8.53905
NR5A2	3.60876	4.47158	3.76399	3.38237	3.68333	3.31283	3.55442	3.74304	4.04105	3.60469	3.28684	3.65429	3.8171	3.572	3.38298	3.69858	3.57338
SOAT1	7.29834	6.97171	6.64352	7.27523	7.94457	7.41113	7.37079	7.42545	7.56538	7.19133	7.53063	7.16864	7.63776	7.29625	7.38313	7.35123	7.11832
EYS	7.16717	7.27446	7.10944	7.68378	6.91963	7.67001	7.49683	6.68021	7.39245	7.00799	7.57719	7.61772	7.47729	7.5963	7.23512	7.24447	6.62021
RGS2	11.311	11.6688	10.6653	11.2497	11.72	11.3995	11.2798	10.669	11.4821	11.4058	11.543	11.1044	11.3794	11.3625	11.4463	11.2201	11.1916
VCAN	9.51261	9.66934	9.82508	9.3363	10.2448	9.58768	9.36501	9.56661	9.16808	9.80445	9.56001	8.97329	8.88834	9.1199	9.0636	9.47753	8.97587
STX2	5.87589	5.34148	6.15531	6.13517	5.49911	6.31837	5.72576	6.18206	5.3867	5.54482	5.40978	5.94355	5.87843	5.72297	5.6959	5.86767	6.09012
DPH3	6.06684	6.02613	7.15665	6.56407	6.49994	6.17685	6.37231	5.92699	6.50633	6.308	6.43038	6.56909	6.32471	6.27433	6.1347	6.36012	6.79213
SLC39A7	5.48702	5.17942	5.12226	5.44407	5.32558	5.50529	5.53652	5.53762	5.74728	5.30619	5.26883	5.66531	5.57474	5.28037	5.23759	5.21466	4.87128
SECISBP2L	6.99564	6.55514	6.9048	7.10858	7.07618	6.96864	6.85101	6.75321	6.90943	6.8053	6.81265	6.46805	6.58252	6.36954	6.8235	7.12618	6.39299
ANXA6	7.58727	6.60376	7.82807	7.67875	7.29731	7.78903	7.68984	7.14667	7.68693	7.86218	7.55528	7.59964	7.60889	7.27289	7.76841	7.53934	7.62636
IFI27L2	7.004	7.26242	7.2371	7.03369	7.16087	6.91673	7.19932	6.7242	7.31906	7.2611	7.38514	7.41237	7.11429	7.01269	6.94665	7.29046	7.48086
TNNT3	5.77902	5.79846	5.94565	5.50213	5.39618	5.87549	5.10699	5.43585	5.68897	5.93997	5.64392	5.72587	5.07734	5.47437	5.90754	5.43256	5.37515
TPD52	4.50991	4.20263	4.60885	4.86125	4.35122	4.75063	5.10551	4.99274	4.88646	4.60089	4.67657	4.7694	4.84888	4.91782	4.35729	4.74742	4.72008
TIAM1	6.14627	5.24986	6.36325	5.98161	5.58683	5.46181	5.76956	5.71946	6.02057	5.8813	5.49867	5.3121	5.75937	5.75244	5.76879	5.54333	5.45198
PRKCA	5.90075	4.65473	5.48027	5.88446	5.45861	6.23422	5.54996	6.35722	6.2051	5.31088	5.30411	5.41168	5.58945	5.36338	5.40865	5.72435	5.54312
BCL3	8.31362	8.30437	7.2412	7.76707	8.8081	7.95808	8.10529	5.88109	8.20654	8.5315	7.96909	7.89965	8.05141	7.5766	8.61407	8.20032	8.36176
HCFC2	5.35608	4.39552	5.84577	5.93654	5.2808	5.91754	5.93122	5.84807	5.7742	5.18006	5.41567	5.89262	5.25687	5.61934	5.26705	5.82731	5.88853
HMGA1	8.09234	7.31144	8.48799	8.14663	7.80924	8.07787	8.22123	7.47944	8.33621	8.07175	8.10431	8.08763	8.21702	7.87589	8.44749	8.19165	7.91864
FBLN2	5.34525	5.26388	5.57328	5.21876	5.50533	5.28965	5.42645	5.36671	5.355	5.61124	5.52122	5.58278	5.22599	5.43748	5.26661	5.39592	5.14736
AFF3	4.78161	5.02934	6.47229	4.8996	4.92003	5.59842	5.63071	5.14066	5.46035	5.04459	5.86373	5.64305	5.12166	5.11602	5.40637	5.54033	5.78286
CEMIP2	7.60584	8.25224	7.00801	7.73928	8.1881	7.79444	7.68498	7.51266	7.74028	8.00608	7.45528	7.59119	7.45798	7.81481	7.45287	8.09287	7.15912
ABCD3	5.44965	5.16687	6.57311	6.01025	5.47341	5.98934	5.77306	5.61035	5.6654	5.13449	5.75983	5.74364	5.7686	5.39868	5.22939	5.91235	5.95799
ZHX1	4.80185	3.96062	5.25071	5.01101	5.52702	5.01559	5.07455	5.72899	5.19635	4.79185	4.81239	5.27416	4.83401	5.06451	4.62721	5.2465	5.33302
ZHX1-C8orf76	4.80185	3.96062	5.25071	5.01101	5.52702	5.01559	5.07455	5.72899	5.19635	4.79185	4.81239	5.27416	4.83401	5.06451	4.62721	5.2465	5.33302
TMEM140	8.72287	8.67205	7.53153	8.41695	8.50435	8.70022	8.8499	7.06182	8.86818	8.95642	8.78564	8.92482	8.63437	8.71944	8.81617	8.49034	8.43249
GPR183	7.29722	6.58544	7.44	7.97347	6.56912	8.04797	7.70227	7.83387	8.18901	7.26979	7.55619	7.82201	7.68879	7.49812	6.81921	7.96183	7.64221
STX8	6.17689	5.08379	6.0752	6.17986	6.27803	6.06901	5.93494	6.58788	5.98886	5.5141	6.22189	6.40995	6.03894	6.17283	5.45381	6.06603	6.26891
DEFB109A	4.96647	6.8175	4.83542	6.47557	4.51112	5.16572	5.1756	6.77185	5.13781	6.09379	5.66499	5.41252	6.23426	5.54096	5.45402	5.88624	5.84733
DEFB109B	4.96647	6.8175	4.83542	6.47557	4.51112	5.16572	5.1756	6.77185	5.13781	6.09379	5.66499	5.41252	6.23426	5.54096	5.45402	5.88624	5.84733
UBE2O	6.77983	4.9569	9.0373	6.75406	6.5775	6.96607	7.55103	5.47711	6.23198	7.00216	5.42952	6.28528	6.63363	5.79273	6.73333	6.50297	7.92006
ARHGEF25	4.13012	3.85842	4.05245	4.29043	3.54636	3.9456	4.14375	3.6873	3.87838	4.26504	4.10404	3.81575	4.07761	3.91205	4.14819	4.05085	4.06909
HPF1	4.69827	4.01784	5.45888	5.20368	4.79018	4.72419	5.24895	4.53076	4.76544	4.44024	4.99243	5.56499	4.73966	5.01214	4.16563	4.66609	4.8999
CEACAM21	5.84479	6.3171	6.35959	6.52863	6.38161	6.63068	6.62793	5.21954	6.81507	6.33016	6.57502	6.38006	6.0197	6.61628	6.81769	6.32511	6.24988
GALE	4.89045	4.71111	4.84564	4.22655	4.97303	4.16794	4.73009	4.90948	4.97195	4.79015	4.56301	4.55505	4.8094	4.32687	5.10909	4.24172	4.85612
BMI1	5.27287	4.26527	5.80834	5.90298	5.52702	6.06883	5.8082	6.27304	5.7366	5.7256	5.93507	5.70865	5.82935	5.73647	5.33913	5.73786	5.92984
COMMD3-BMI1	5.27287	4.26527	5.80834	5.90298	5.52702	6.06883	5.8082	6.27304	5.7366	5.7256	5.93507	5.70865	5.82935	5.73647	5.33913	5.73786	5.92984
SEMA6A	4.86081	3.90619	4.1224	4.45732	3.8768	4.85047	4.5535	4.57073	4.60957	4.43137	4.07913	4.51186	4.49236	4.32228	4.41659	4.8335	4.14141
PROM1	2.82828	3.03484	2.76584	2.26243	2.64113	2.55411	2.80285	3.18962	2.53327	3.10794	2.64298	2.72889	2.89602	2.65693	2.6777	2.60967	2.89677
APOBEC3C	7.47372	5.27077	7.55716	7.29738	6.98588	7.18468	7.36743	5.793	7.05965	7.03637	7.31704	6.95952	7.35617	6.51572	6.45802	7.0462	7.55829
MAP4K5	6.72224	5.32311	8.80914	6.8485	6.83787	6.74849	6.71176	6.73303	6.37715	6.23346	6.58011	6.99494	6.7437	6.49533	6.61585	7.20323	7.47225
ABCA7	6.37465	6.15087	5.76884	5.59303	5.86851	6.14212	6.19971	5.11975	6.23784	5.9578	5.97777	6.23568	6.34255	6.27261	6.18917	5.78589	5.80289
TRAF3IP2	5.54204	5.17737	5.57931	5.45502	5.64213	5.67321	5.75777	4.29548	5.7485	5.55007	5.69605	5.0923	5.51139	5.66039	5.755	5.87487	5.4862
NQO2	8.63575	9.32906	8.07155	8.38269	8.81831	9.03396	8.71486	8.17429	8.147	9.20625	9.01259	8.82705	9.14947	9.57232	8.33805	9.33701	8.7969
UNC13B	4.11059	3.91389	3.87501	3.5287	3.59786	3.42097	3.42954	3.82443	3.65192	3.91626	3.51662	3.42041	3.28606	3.56699	3.696	3.59792	3.68378
CFLAR	8.96314	9.84659	8.74125	9.03319	9.58099	9.04655	8.99562	8.77107	9.26223	8.79612	9.17836	9.20192	8.84418	9.8457	8.70672	8.50945	8.77341
TIMM17A	6.07373	6.0124	6.72808	6.75951	6.41066	6.34623	6.25656	6.87752	6.44399	6.241	6.05451	6.81815	6.04727	6.39291	5.69901	6.60541	6.56177
FBP1	6.62967	5.68951	6.28792	6.37267	6.85164	6.7417	6.55851	6.15244	6.59804	6.67514	6.75142	6.0297	6.41488	5.94691	6.03662	7.36814	6.54689
ZNF217	8.65966	8.86341	8.32668	8.71327	8.69829	8.72427	8.64544	8.28366	8.59331	8.67888	8.79665	8.29827	8.52504	8.92981	8.76391	8.50611	8.28997
WBP2	10.2384	9.31591	10.4237	9.67535	10.2218	9.84725	10.1205	8.40244	9.8529	9.82056	9.48994	9.84728	10.1078	9.54477	10.1026	9.75112	10.1156
SIMC1	4.47303	4.00626	4.97398	5.16057	4.56201	4.72249	5.10538	4.73608	4.48191	4.41561	5.44141	4.39482	4.55472	4.51229	5.0733	4.97518	4.98443
TSC22D1	6.17433	5.30409	6.32598	6.67215	5.87638	6.5615	5.58188	5.45205	6.2217	6.16474	5.99149	6.4261	6.61729	5.72827	6.2064	6.45603	6.58315
SCHIP1	4.20531	4.5787	4.20385	4.1919	4.22791	3.60891	4.06994	3.92369	4.2618	4.17601	4.23913	4.37438	4.48069	4.16875	4.52972	4.23452	3.84025
IQCJ-SCHIP1	4.20531	4.5787	4.20385	4.1919	4.22791	3.60891	4.06994	3.92369	4.2618	4.17601	4.23913	4.37438	4.48069	4.16875	4.52972	4.23452	3.84025
IPMK	8.76641	9.02208	7.52643	8.85252	9.17401	8.63853	8.5237	7.8437	8.72527	8.65253	8.97212	8.95061	8.55166	9.01604	8.85289	8.6707	8.56671
EIF2AK1	9.41124	7.62372	10.2425	8.72334	9.26589	8.91319	9.24749	8.57538	8.84527	8.9369	8.06434	9.35182	9.6241	8.45391	9.28776	8.83892	9.84922
TPI1	8.74791	8.33234	8.46776	8.22553	8.81358	8.41452	8.6691	7.34054	8.53076	8.64517	8.36253	8.66808	8.6706	8.35232	8.22042	8.58652	8.56468
CDC42EP1	5.51748	5.41809	5.59746	5.42593	5.48437	4.87265	5.46613	5.62364	6.04801	5.71531	5.53517	5.401	5.6921	5.65135	6.16146	5.5682	5.41271
SIK1	5.44713	5.6727	5.21327	5.13237	5.46878	5.59189	5.40698	5.10444	5.82837	5.83266	5.7724	5.18877	5.5787	5.2274	5.97033	5.35165	5.66147
SIK1B	5.44713	5.6727	5.21327	5.13237	5.46878	5.59189	5.40698	5.10444	5.82837	5.83266	5.7724	5.18877	5.5787	5.2274	5.97033	5.35165	5.66147
ALDOC	5.91963	5.99862	6.21564	5.46241	5.70711	6.08158	5.90903	6.00427	6.02354	6.24806	5.63649	5.87325	5.98385	5.63303	6.25637	5.8154	5.38682
MRPL35	5.48773	4.92003	6.41889	6.02752	5.16836	6.1686	5.71941	5.69432	5.78807	5.30203	6.03822	5.6684	5.11983	5.63003	5.53319	6.08713	5.31693
PRKCZ	5.69644	6.04548	5.24028	5.67401	5.75984	5.78335	5.39089	5.05647	5.5848	5.83604	5.77787	5.98147	5.82507	5.6816	5.84211	5.87207	5.41187
TFG	6.40394	6.34806	6.36658	6.66315	6.41547	6.67932	6.7221	5.8518	6.41754	6.33825	6.93325	6.35594	6.66492	6.03979	6.12898	6.49334	6.34905
FCGR2B	10.9742	11.1129	9.74178	10.738	10.6885	10.8933	10.7806	10.4052	10.8077	10.6756	10.9205	10.9445	10.5897	10.7435	10.4988	10.8477	10.5428
FCGR2C	10.9742	11.1129	9.74178	10.738	10.6885	10.8933	10.7806	10.4052	10.8077	10.6756	10.9205	10.9445	10.5897	10.7435	10.4988	10.8477	10.5428
MOB3B	5.53904	5.48178	5.52601	5.74721	5.44132	5.56689	5.56739	5.33348	5.76229	5.62483	5.87111	5.35781	5.6343	5.84773	5.69993	5.70637	5.26252
EPB41L3	5.61645	4.69308	5.54609	5.30884	5.85377	5.75426	5.41561	4.54823	5.71635	6.23353	5.99209	4.52147	5.50468	5.41455	5.43052	5.85233	5.30428
SEC61G	8.3099	7.84782	9.07857	8.50938	8.58346	8.3743	8.81139	8.90832	8.42369	8.1292	8.40725	8.65167	8.45941	8.55477	7.79651	8.3136	8.45966
PARP9	8.35458	8.43983	7.28733	8.25638	8.52013	8.59294	8.06499	8.09606	8.13725	8.74651	8.70212	8.49942	8.41018	8.28704	8.11774	8.54322	8.66718
LSM3	4.79563	4.29733	5.99645	5.67656	5.56287	5.57523	5.79038	6.56744	5.68689	4.83157	5.27881	5.264	4.35746	5.05961	4.29182	5.59306	6.09101
HLA-DQB2	7.43972	6.7147	7.89634	7.12159	8.61761	8.90189	7.7191	6.84265	7.69861	7.75634	8.01413	7.53992	9.07493	7.65521	8.09002	8.06612	7.55642
B9D1	4.75413	4.72483	4.6752	4.82443	4.73954	4.49665	4.28773	4.88617	4.48536	5.09933	4.19395	4.80201	4.55974	4.23179	5.07336	4.15098	4.86573
OSCAR	6.52702	7.26639	6.25441	6.83272	7.75156	6.68752	6.31283	5.35916	6.311	6.39093	6.68173	5.99331	6.80585	6.6782	6.88841	6.18804	6.35044
MPP6	3.50424	3.20487	4.33685	3.67636	3.3747	4.20326	3.74065	4.86073	4.18625	3.70845	3.75442	4.24053	3.94511	4.04889	3.55884	3.96993	4.69495
FKBP2	6.68162	6.30728	6.60371	6.46473	6.54298	6.43659	6.91555	6.8168	6.76124	6.46693	6.45765	7.01721	6.7004	6.5576	6.54865	6.35741	6.78648
WNK3	2.83125	3.59578	2.68588	2.85537	2.87174	2.42269	2.97108	3.63866	2.91973	2.93549	2.97368	3.05757	2.83465	2.69945	2.82329	2.69291	2.71797
NPHP1	2.76032	3.17465	2.76361	2.65644	2.7048	2.89713	3.11101	3.13865	3.02743	2.99515	2.66599	2.85592	2.74823	2.73965	2.90952	3.04713	2.68823
MARK2	7.84713	8.0194	7.25848	7.48141	8.08013	7.65852	7.8745	6.67274	7.55021	7.92098	7.92316	7.6111	7.89399	8.07643	7.78562	7.73662	7.33346
HIST2H2AA3	9.33061	9.7092	9.18767	8.79312	9.76121	8.94538	9.23565	8.10848	9.28114	9.28146	9.1438	9.20152	9.53468	9.36778	9.40935	9.23582	9.14854
HIST2H2AC	9.33061	9.7092	9.18767	8.79312	9.76121	8.94538	9.23565	8.10848	9.28114	9.28146	9.1438	9.20152	9.53468	9.36778	9.40935	9.23582	9.14854
HIST2H2AB	9.33061	9.7092	9.18767	8.79312	9.76121	8.94538	9.23565	8.10848	9.28114	9.28146	9.1438	9.20152	9.53468	9.36778	9.40935	9.23582	9.14854
HIST2H2AA4	9.33061	9.7092	9.18767	8.79312	9.76121	8.94538	9.23565	8.10848	9.28114	9.28146	9.1438	9.20152	9.53468	9.36778	9.40935	9.23582	9.14854
CLIP4	6.09036	4.42693	5.89893	6.1929	5.59852	5.85839	5.70011	6.43621	6.12565	5.62564	5.66101	5.9957	5.99878	6.042	5.5508	6.38263	5.56735
LRRC4	7.41142	7.93767	5.88159	7.57747	7.67093	7.70899	7.36428	6.12721	7.3561	7.86789	7.64239	7.35459	7.33297	7.56206	7.49905	7.35024	7.33134
CTSV	3.11768	3.23945	2.88027	3.2976	3.26122	2.76197	2.78519	3.71404	2.92006	2.91405	2.84522	2.56273	2.81672	2.90536	2.83787	2.8343	3.24505
NDUFS4	5.08566	4.8493	6.00553	5.60728	5.64089	5.52988	5.61755	6.22883	5.55444	4.7592	5.24203	5.93169	5.03903	4.99783	4.97548	5.40611	6.0828
TMEM136	3.645	3.64845	3.90837	3.77659	3.65178	3.48141	3.61523	3.7704	3.72612	3.82809	3.78171	3.86431	3.91491	3.8332	4.05092	3.59192	3.74245
SLC44A2	9.85926	10.0725	9.25032	9.8431	9.95752	9.99169	9.97568	8.17318	9.80318	9.94423	9.80731	9.58569	9.91407	9.95919	10.1269	9.85616	9.78293
ARSG	6.94855	6.93536	5.98937	6.87518	6.97731	6.73041	6.84522	5.87456	6.78284	6.73812	6.7213	6.60567	7.21702	6.83132	6.78387	6.35714	6.11858
DNAJA4	6.61497	5.08413	8.17819	6.13247	6.06487	6.10729	6.2155	5.77242	6.20007	5.98977	5.55311	6.19818	6.34926	5.43723	6.37473	6.21963	7.02679
ADCY9	4.63873	4.43124	3.51006	4.65535	4.37092	4.50475	4.42524	4.41828	4.37173	4.14537	4.54347	4.5174	4.34955	4.34607	4.37013	4.44503	4.3812
ECPAS	6.52135	6.66465	6.51121	6.75824	6.78731	6.85285	6.6803	6.5921	6.43696	6.60614	6.78656	6.51746	6.51136	6.69991	6.36567	6.63825	6.5182
PDE8A	5.56676	4.35903	5.19918	5.56646	5.08824	5.77772	5.00131	5.80036	5.43279	5.07579	5.38979	5.60254	5.25357	5.06041	4.97175	5.41149	5.04644
AASS	4.51706	4.47416	3.89244	3.91575	4.19316	3.90101	4.33676	4.54507	4.40984	4.50608	4.23605	4.18427	4.24688	4.08531	4.35574	3.85809	4.51525
ZNF468	4.70385	4.66794	5.16467	5.53305	4.71216	5.68902	4.75896	4.20255	4.65095	4.69668	5.69328	5.80406	5.07209	5.09268	4.84905	4.94465	5.15877
CDK4	5.95067	5.32888	6.37354	6.25724	5.99274	6.18436	6.37728	5.73443	6.33606	6.44301	5.91268	6.19806	6.15365	5.98993	5.93642	6.06375	6.12261
MIA2	3.65496	3.46509	3.47196	3.45661	3.62629	3.78095	3.67732	3.80145	3.62732	3.63848	3.61357	3.64635	3.52236	3.56344	3.33736	3.50231	3.46131
CTAGE1	3.65496	3.46509	3.47196	3.45661	3.62629	3.78095	3.67732	3.80145	3.62732	3.63848	3.61357	3.64635	3.52236	3.56344	3.33736	3.50231	3.46131
SNORA70F	2.53392	3.29516	2.7132	2.79612	2.93211	2.87465	3.26684	3.56407	2.86986	3.07378	3.07078	3.10768	2.68156	3.39029	2.77319	3.70844	2.71927
CTSF	4.55813	4.45229	4.0684	4.20706	4.67007	4.50556	4.80011	4.06642	4.5532	4.76873	4.25475	4.05967	4.68288	4.17777	4.59699	4.4436	4.89699
SNRPN	6.10641	5.40191	8.13833	7.63799	6.11761	6.59904	6.90635	8.11266	6.89119	5.9687	7.06288	6.89187	6.31953	7.24602	6.84478	6.78764	6.87138
SNORD116-19	6.10641	5.40191	8.13833	7.63799	6.11761	6.59904	6.90635	8.11266	6.89119	5.9687	7.06288	6.89187	6.31953	7.24602	6.84478	6.78764	6.87138
SNORD116-15	6.10641	5.40191	8.13833	7.63799	6.11761	6.59904	6.90635	8.11266	6.89119	5.9687	7.06288	6.89187	6.31953	7.24602	6.84478	6.78764	6.87138
SNORD116-16	6.10641	5.40191	8.13833	7.63799	6.11761	6.59904	6.90635	8.11266	6.89119	5.9687	7.06288	6.89187	6.31953	7.24602	6.84478	6.78764	6.87138
SNORD116-17	6.10641	5.40191	8.13833	7.63799	6.11761	6.59904	6.90635	8.11266	6.89119	5.9687	7.06288	6.89187	6.31953	7.24602	6.84478	6.78764	6.87138
SNORD116-18	6.10641	5.40191	8.13833	7.63799	6.11761	6.59904	6.90635	8.11266	6.89119	5.9687	7.06288	6.89187	6.31953	7.24602	6.84478	6.78764	6.87138
SNORD116-20	6.10641	5.40191	8.13833	7.63799	6.11761	6.59904	6.90635	8.11266	6.89119	5.9687	7.06288	6.89187	6.31953	7.24602	6.84478	6.78764	6.87138
SNORD116-22	6.10641	5.40191	8.13833	7.63799	6.11761	6.59904	6.90635	8.11266	6.89119	5.9687	7.06288	6.89187	6.31953	7.24602	6.84478	6.78764	6.87138
MYO5A	7.02303	6.91103	6.58951	7.28841	7.64613	7.48648	7.24139	7.29272	7.09609	7.31293	7.35429	7.23124	7.15123	7.25614	7.2294	7.48741	6.93344
P2RX5	5.17882	5.37171	6.1937	5.55613	5.05483	5.5789	5.79006	5.6081	5.75751	5.23192	5.69719	6.128	5.33369	5.22155	5.75675	5.51963	5.72787
P2RX5-TAX1BP3	5.17882	5.37171	6.1937	5.55613	5.05483	5.5789	5.79006	5.6081	5.75751	5.23192	5.69719	6.128	5.33369	5.22155	5.75675	5.51963	5.72787
DYNC1I2	7.34016	6.31313	8.03084	7.77676	7.63563	7.13394	7.47421	7.27991	7.15064	6.86314	7.49786	7.16152	7.31204	7.48454	6.49675	7.43075	7.31139
ITGA6	7.56054	6.54006	7.92607	7.93029	7.15146	7.69591	7.69418	8.60328	7.73213	7.36817	7.26111	7.64442	7.44765	7.3139	7.54064	8.09595	7.14212
RNF152	4.52899	4.66349	5.23989	3.87395	4.46863	4.58067	4.68418	4.38261	4.42536	4.71685	4.01611	4.16952	4.47363	4.17513	4.84995	4.40323	4.25411
KCNMB1	5.19089	5.42359	5.19528	4.82695	4.70776	5.22856	5.00229	4.18879	5.14069	5.59813	5.00906	4.87984	5.07872	5.02483	5.17854	5.20557	5.2319
MTMR10	7.98847	8.27981	7.61665	7.88745	8.13704	8.08807	7.88024	7.39503	7.61021	7.96946	7.98267	7.83385	7.98359	8.15366	7.95417	7.83981	7.69738
ACOT9	6.10311	6.05803	5.3538	6.10952	6.9668	6.11108	6.38464	5.14665	6.03125	6.27808	6.42175	6.00175	6.32876	6.6597	6.05617	6.41356	6.31688
TUBE1	4.83983	5.28273	5.39127	5.7871	5.04133	5.83157	5.91055	4.93823	5.48762	5.39222	5.23085	5.562	5.67889	5.22554	5.06118	5.37372	5.81757
TTC39B	4.87901	3.7155	5.0703	5.85184	5.16008	5.57724	4.9087	6.27454	5.08163	4.49298	5.29609	5.4806	5.19054	4.9203	5.31351	5.10242	4.67821
VDR	6.30055	6.92227	5.93	6.21342	6.46441	6.19679	6.54732	5.2977	5.74386	6.348	6.2525	5.88399	6.45388	6.20587	6.51971	6.19817	6.06724
G0S2	5.96909	5.61386	5.82463	5.89096	7.2143	5.75465	5.98777	5.39303	6.28201	5.91365	6.08976	5.54711	6.06774	5.7453	6.12947	5.3664	6.4476
SNORA70B	5.35506	4.94035	5.5442	4.98172	5.51138	5.92221	5.84366	4.31442	4.48493	5.24002	4.90036	6.1039	6.0576	5.32906	5.11853	4.7752	4.56014
TOP1	8.25754	7.75505	9.75057	8.10199	8.74732	8.40502	8.274	7.70141	8.12159	7.90871	7.9761	8.05235	8.14792	7.90385	7.92125	8.29372	8.44054
CD300LB	6.15745	5.41546	5.38987	5.72897	6.77418	6.32762	5.8376	5.36296	5.12061	5.03848	6.10206	5.79137	5.56385	5.48512	5.69557	6.31735	5.1621
SLC16A10	4.53671	4.37059	5.48535	4.80759	4.25561	4.43622	4.46217	5.04105	4.60016	4.71937	4.30379	4.68623	4.62672	4.42867	4.64511	4.58669	4.45671
ING2	4.62609	4.87624	5.13163	5.33585	5.18735	5.01495	4.3769	4.86936	5.11932	3.89414	4.61871	5.53427	5.34016	5.01586	4.88178	4.82707	5.4543
TMEM37	5.63326	5.15441	5.08397	5.28604	5.10976	4.6384	5.62938	5.47992	5.39246	5.54851	5.50006	5.0757	5.60117	5.18059	5.49671	5.43037	5.56453
PTHLH	3.81824	3.64542	4.02484	3.67683	3.40027	3.48374	3.68891	4.2656	3.86622	3.8636	3.54222	3.79255	3.72707	3.28432	3.69073	3.67374	3.74949
CREB3	5.70934	5.54921	5.01284	5.67168	5.15328	5.68204	5.79178	5.5003	5.93689	5.53666	5.40351	5.49263	5.52166	5.62309	5.42581	5.8988	5.5223
TMEM214	6.76665	6.14502	6.67948	6.71304	6.89959	6.85305	7.10121	6.63414	6.74288	6.95342	6.79497	6.64135	6.55957	6.5956	6.39311	6.94668	6.84086
DARS	7.108	6.50794	7.67087	7.57007	7.23018	7.38815	7.44093	7.71606	7.60224	7.21186	7.11426	7.53407	7.21656	7.06	6.91574	7.35103	7.52122
CACNA1C	4.44344	4.59716	4.51483	4.22159	4.38229	4.12318	4.38031	4.21729	4.32784	4.45396	4.20612	4.15506	3.98268	4.14172	4.41099	4.16582	4.01031
ZBTB41	5.10651	4.8372	5.81511	5.84042	5.11856	5.62612	5.44412	6.13447	5.25378	5.00642	5.83591	6.15127	5.34755	5.6921	4.81388	6.05555	6.11744
PEBP1	7.28629	6.1357	7.83767	7.75451	7.06869	7.62186	7.5109	7.7899	7.23727	7.84536	7.60402	7.46431	7.29854	7.46477	7.04897	6.81638	7.42046
